sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
handsome	adj::漂亮的；大方的	handsome boy::帅小伙¦handsome salary::可观的薪水
myriad	n::极大数量	a myriad of::大量的；无数的
percussion	n::碰撞；震动	percussion instrument::打击乐器¦percussion drilling::冲击钻探，冲魂；冲唤钻眼，冲魂井
routine	n::例行公事，惯例，常规	routine maintenance::日常维修；例行维护¦routine work::日常工作；常规作业¦daily routine::日常生活；日常工作¦service routine::服务程序¦routine analysis::常规分析；例行分析¦routine examination::常规检查¦routine operation::例行操作¦routine test::定期试验；常规试验；例行程序试验；定期测验¦routine inspection::例行检查；常规检查；日常检验¦routine check::例行检查；程序校验¦routine testing::常规测试；例行检查¦working routine::工作程序；操作程序¦complete routine::完整程序¦executive routine::[计]执行例行程序；管理程序¦routine practice::例行实作
strip	vt&vi::剥去；除去；剥夺财产¦n::狭长一片	strip of::剥夺¦strip mill::带钢轧机；带材轧机；钢带轧机；板条辊轧机¦steel strip::钢带¦gaza strip::加沙地带¦strip steel::带钢¦hot strip mill::扁钢热轧机；带钢热轧机¦narrow strip::窄带钢；窄带材¦strip mining::露天开采¦strip mine::n. （美）露天矿¦copper strip::铜带；铜条¦strip method::带状法，截片法¦metal strip::铁带，钢带；金属条¦strip width::条宽；行宽¦sealing strip::封密条；汽封片¦wide strip::宽带钢；宽带材¦strip off::脱衣；脱去；剥落¦comic strip::连载漫画；四格漫画¦strip foundation::条形地基；长条基础¦strip club::脱衣舞夜总会¦test strip::试验片；测试条
amidst	prep::=amid¦在::当中	
minister	v::照顾，给予帮助	prime minister::首相，总理¦foreign minister::外交部长¦finance minister::财政部长¦vice minister::n. 副部长，副总理¦defense minister::国防部长¦deputy prime minister::副总理；副首相¦cabinet minister::n. 大臣；阁僚¦interior minister::内政部长¦minister of education::教育部长¦minister of state::国务大臣¦commerce minister::商业部长¦home minister::内政部长¦assistant minister::部长助理¦minister counselor::公使
funeral	n::葬礼，丧葬	funeral home::n. （美）殡仪馆¦funeral service::丧礼仪式¦funeral procession::送葬¦state funeral::n. 国葬¦funeral and interment::殡葬¦funeral expenses::殡殓费，丧葬费¦wedding and funeral::红白喜事¦funeral parlor::n. 殡仪馆¦funeral parlour::n. 殡仪馆¦funeral march::葬礼进行曲，送葬曲
corrode	v::腐蚀，侵蚀	
incidence	n::发生率，影响的方式	incidence rate::发生率，发病率¦incidence angle::入射角，迎角；安装角¦angle of incidence::[计]入射角¦normal incidence::正入射；垂直入射；法线入射¦incidence matrix::关联矩阵¦incidence of a disease::发病率¦oblique incidence::倾斜入射¦grazing incidence::掠入射；切线入射；临界入射¦glancing incidence::掠入射；切线入射
scheme	n&v::安排；计划，阴谋	design scheme::设计方案¦scheme design::[经]初步设计¦color scheme::配色方案，色彩设计¦coding scheme::编码方案¦pilot scheme::[经]小规模试验计划¦allocation scheme::分配方式¦ponzi scheme::庞氏骗局（指骗人向虚设的企业投资，以后来投资者的钱作为快速盈利付给最初投资者以诱使更多人上当）¦flow scheme::流程表，流程图¦finite difference scheme::[计]有限差分格式¦modulation scheme::[计]调制方案¦pension scheme::退休金计划¦pyramid scheme::金字塔骗局；非法传销¦colour scheme::色调搭配；色系¦implicit scheme::隐格式¦working scheme::施工方案；施业规划；工作计划；加工方案¦preliminary scheme::初步规划¦scheme of control::管制计划¦marking scheme::评分方案¦housing scheme::住宅建筑方案¦principle scheme::原理图
rail	n::栏杆；横杆	rail transit::城市轨道交通；铁路直达运输¦by rail::由铁路，乘火车¦light rail::轻轨；轻轨电车¦rail transport::铁路运输¦on the rails::正常进行；在正常轨道上¦guide rail::导轨；导杆¦off the rails::出轨的；混乱的，神经错乱的¦heavy rail::n. 重轨；重钢轨¦steel rail::钢轨¦on rail::铁路交货¦slide rail::滑道，滑轨¦rail steel::轨钢，钢轨钢¦rail link::铁路联络线，轨节¦go off the rails::◎行为越轨；(在实际问题上或道路上)走上错误的道路¦rail track::轨道；铁路线路¦rail surface::轨面¦guard rail::防护轨¦rail service::铁路运输¦rail car::n. 机动轨道车；单节机动有轨车¦side rail::纵梁，床侧板；护栏，舷梯扶手
ponderous	adj::沉重的，笨重的；(文章)冗长的	
degrade	v::降级，堕落，贬黜	
confirm	v::(权力)使巩固；认可(任命)	confirm in::v. 使更坚定
scalpel	n::解剖刀，(外科用)小刀	
complexion	n::肤色；情况；局面；气质	sallow complexion::面色萎黄
outcast	a&n::被遗弃的；被遗弃者，被逐出者	
prior	adj::较早的；更重要的	prior notice::事先通知；预先通报¦prior art::先前技术¦prior approval::事先批准；预先审批；事前批准；事前许可；预先核准¦prior probability::先验概率，事前机率¦prior period::前期；上期¦prior condition::先决条件
pimple	n::丘疹，脓疱	
theft	n::偷盗	identity theft::身份盗窃，身份盗用¦guard against theft::防盗¦grand theft::重偷窃罪¦auto theft::汽车偷窃
compose	v::组成，构成；创作；排字；使安静	compose oneself::镇静¦compose of::由…组成
infect	v::传染，受影响，受感染	
symmetry	n::对称；匀称	axial symmetry::轴对称性¦rotational symmetry::旋转对称；轴对称¦symmetry axis::对称轴¦symmetry principle::对称原理¦radial symmetry::辐射对称；径向对称；放射对称¦bilateral symmetry::左右对称；两侧对称¦axis of symmetry::对称轴；对称轴线¦translational symmetry::[化]平移对称
significant	adj::意义深长的；重要的	significant difference::显著性差异¦significant change::显著变化；有效变化量¦statistically significant::统计上显著的¦significant amount::大量；有实义金额；巨数¦significant development::重大进展；长足发展¦significant other::重要他人¦significant level::显著水准；检验水准；有效水平¦statistically significant difference::统计上的显著差异¦significant event::有意义事件¦significant wave::指示波；显著波；有效波¦least significant bit::最低有效位¦significant form::有意味的形式；蕴意形式；言之有意的形式¦significant figure::有效数字；有效数¦significant wave height::有效波高
currency	n::通用，流通，货币	foreign currency::n. 外币¦reserve currency::储备货币¦currency exchange::货币兑换；外汇兑换¦single currency::单一货币；统一货币¦local currency::n. 本国货币¦currency system::币制¦currency board::货币发行局；货币委员会¦paper currency::n. 纸币，钞票¦hard currency::硬通货；强势货币（等于hard money）¦currency crisis::货币危机¦domestic currency::本国货币¦currency appreciation::货币升值¦currency value::币值¦currency devaluation::[经]货币贬值¦currency depreciation::货币贬值¦currency risk::通货风险¦national currency::本国货币¦electronic currency::电子货币¦foreign currency exchange::外币兑换¦strong currency::强势货币；硬通货
prelude	n::序言，序幕	
typhoon	n::台风，强热带风暴	
discriminate	v::区别，区分；岐视	discriminate against::歧视；排斥
drawback	n::障碍；不利	
vacant	adj::空的；未被占用的；空虚的，无表情的	vacant space::空舱位；未用空间¦vacant room::空房¦vacant position::职位空缺；空座¦vacant land::空地；闲置地¦vacant lot::空地¦vacant seat::空位，未被占座位
track	n&v::行迹；踪迹；跟踪	track and field::田径；田径赛¦on track::走上正轨¦keep track::通晓事态，注意动向¦keep track of::记录；与…保持联系¦track record::n. 径赛成绩记录；过去的成绩或成就¦on the track::adv. 在轨道上；未离题¦track in::镜头推进¦track down::追捕¦on the right track::正确地；走对路了；未离题的¦back on track::重回正轨；重上轨道；改过自新¦fast track::快速立法；快速通道¦double track::双声道，双声轨（录音磁带）¦railway track::铁路轨道¦sound track::声道，声轨；声带¦on the track of::追踪¦race track::竞赛的跑道；跑道形电磁分离器¦proven track record::可靠的工作业绩¦track circuit::轨道电路¦track system::轨道系统；追踪系统；薪金线制度；分轨制¦beaten track::常规；惯例；踏出来的路
culture	n::人类能力的高度发展，文化，教养，文明	traditional culture::传统文化¦corporate culture::企业文化，公司文化¦enterprise culture::企业文化¦western culture::西方文化¦national culture::民族文化¦campus culture::校园文化¦tissue culture::组织培养；体素培养¦local culture::本土文化；地方文化¦popular culture::大众文化，通俗文化；流行文化¦culture medium::培养基（培养微生物的养料）¦human culture::人类文化；人类文明¦american culture::美国文化¦cell culture::细胞培养¦folk culture::民俗文化；民间文化¦culture industry::文化产业；文化工业¦physical culture::n. 体育¦foreign culture::外国文化¦mass culture::大众文化；大量培养¦organizational culture::组织文化¦pop culture::流行文化；通俗文化；波普文化
excavate	v::挖掘，挖出	
fit	adj::(病的)发作，痉挛¦v&a::n合适,试穿,安装¦v::"	fit for something::使胜任某事，使适应(或适合)某事¦fit for::adj. 适于；适合的，恰当的¦keep fit::保持（身体）健康¦fit in::适应，适合；装配好；找时间做¦fit into::vt. 适合，适应；符合¦fit in with::vt. 适应；符合；与...一致¦fit with::适合；符合¦fit the bill::刚好符合要求；满足要求¦fit on::试穿；装上¦a fit of::阵发；突发一阵¦best fit::最佳配合；最佳匹配¦interference fit::过盈配合；干涉配合；紧配合¦feel fit::精神很好¦fit together::组装在一起¦think fit::宁愿；选择¦get fit::健身；塑型；让身体变健康¦fit like a glove::完全相合；恰好¦fit to kill::[口]极度地；大大地；十分显眼地；过分地¦goodness of fit::[计]拟合优度；适合度，吻合度¦fit out::装备；配备；供应
motion	n::运动，动态；手势；眼色，姿势；提议	in motion::在开动中，在运转中¦motion control::运动控制，拖动控制；动作控制，移动控制¦wave motion::波动¦motion picture::n. 电影¦relative motion::相对运动¦motion equation::运动方程¦motion compensation::运动补偿；动态补偿¦linear motion::直线运动¦motion analysis::运动分析；动作分析¦equation of motion::运动方程¦proper motion::自行；天体之固有运动¦brownian motion::布朗运动¦slow motion::慢动作；慢镜头¦circular motion::圆周运动；圆运动¦set in motion::开始，调动；把…发动起来¦motion simulation::运动仿真；运动模拟¦motion state::运动状态¦law of motion::[物理]运动定律（等于Newton's law of motion）¦motion sickness::[医]晕动病（指晕船、晕车、晕飞机）¦reciprocating motion::往复运动；住复式动作
