internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
penalty	'pɛnəlti	'pen(ə)ltɪ	n::罚款，罚金；处罚	death penalty::死刑¦penalty function::罚函数；[数]补偿函数¦penalty for::罚金；对…的处罚¦administrative penalty::行政处罚¦penalty area::罚球区，禁区¦penalty kick::罚点球，罚球¦penalty spot::罚球点¦pay the penalty::得报应，受惩罚¦penalty factor::惩罚因子¦penalty shootout::点球大战¦penalty cost::亏损；违约成本¦penalty shot::[篮]罚球；[冰]罚任意球¦penalty goal::罚球得分；罚进的球¦penalty box::（冰球、曲棍球）被罚下场的队员座席	No littering. Penalty $500.::禁止乱扔垃圾。 违者罚款500美元。¦Withdrawing the money early will result in a 10% penalty.::提前支取这笔钱将被处以10%的罚金。¦If he is convicted, he could receive the death penalty (= be killed as a punishment ) .::一旦定罪，他可能会被判处死刑。
pencil	'pɛnsl	'pens(ə)l; -sɪl	n::铅笔；笔状物¦v::用铅笔写；用眉笔涂	blue pencil::蓝铅笔（用于删改书稿或剧本等的）¦pencil case::文具盒¦pencil box::铅笔盒¦pencil sharpener::卷笔刀¦eyebrow pencil::眉笔¦pencil lead::铅笔心¦lead pencil::n. 铅笔¦color pencil::彩色铅笔¦mechanical pencil::自动铅笔¦pencil factory::铅笔厂¦pencil sketch::素描¦test pencil::n. 测电笔，电笔；试验笔	a sharp pencil::尖尖的铅笔¦a blue pencil::蓝色铅笔¦a pencil sketch::铅笔速写
pendant	'pɛndənt	'pend(ə)nt	n::下垂物，垂饰	pendant lamp::n. 吊灯¦pendant light::吊灯	a ruby pendant::红宝石吊坠
pendent	'pɛndənt	'pend(ə)nt	adj::悬而未决的；下垂的；未定的；向外伸出的		a pendent lamp::吊灯
pending	'pɛndɪŋ	'pendɪŋ	adj::未决定的；行将发生的¦prep::在…期间；直到…时为止；在等待…之际¦v::待定；悬而不决（pend的ing形式）¦n::(Pending)人名；(瑞典)彭丁	patent pending::专利申请中；专利未决	Many trade disputes are pending, awaiting the outcome of the talks.::许多贸易争端悬而未决，等待会谈结果。
pendulum	'pɛndʒələm	'pendjʊləm	n::钟摆；摇锤；摇摆不定的事态	inverted pendulum::倒立摆；倒摆¦simple pendulum::单摆；数学摆¦compound pendulum::[物]复摆；[物]物理摆（等于physical pendulum）¦foucault's pendulum::傅科摆¦torsion pendulum::扭秤；扭转摆¦pendulum swing::测锤摆幅¦pendulum clock::摆钟	After several years of Republican government, the pendulum will undoubtedly swing back and voters will elect a Democrat.::由共和党执政数年后，选民无疑会掉过头来，选出一位民主党人。
penguin	'pɛŋɡwɪn	'peŋgwɪn	n::企鹅；空军地勤人员	king penguin::国王企鹅；帝企鹅（等于Aptenodytes patagonicus）¦emperor penguin::n. 皇企鹅	
peninsula	pə'nɪnsələ	pɪ'nɪnsjʊlə	n::半岛	malay peninsula::马来半岛¦arabian peninsula::阿拉伯半岛¦balkan peninsula::n. 巴尔干半岛¦iberian peninsula::伊比利亚半岛¦kowloon peninsula::九龙半岛¦antarctic peninsula::南极半岛¦sinai peninsula::西奈半岛¦kola peninsula::科拉半岛（俄罗斯西北部）	the Korean peninsula::朝鲜半岛
penis	'pinɪs	'piːnɪs	n::阳物；[解剖] 阴茎		From one perspective, the development of a very small penis could be considered the next step in male hominid evolution.::从这一角度看，在原始男性进化中，非常小阴茎的男人在下一步可能优先考虑发展。¦So the ejaculation of semen goes backwards, up the penis and into the bladder.::所以射精时精液是逆向的，顺着阴茎向上到了膀胱里。
penny	'pɛni	'penɪ	n::（美）分；便士	not a penny::不名一文，一分钱也没有¦spend a penny::上公共厕所（旧时英国公厕的自动门须投一便士硬币后方行开启）¦pretty penny::一大笔钱；大数目之金钱¦a bad penny::反复出现的讨厌的人；一再出现的不需要的人¦two a penny::[英国口语]多得很；不值钱，多而贱的；平凡的¦like a bad penny::不想看见时一再出现，要想忘记但忘不掉¦have not a penny::很穷，不名一文¦penny pincher::守财奴；小气鬼¦penny stock::便士股票，低价股	Unleaded petrol rose more than a penny a gallon.::无铅汽油每加仑涨了一个多便士。
pension	'pɛnʃən	'penʃ(ə)n	n::退休金，抚恤金；津贴；膳宿费¦v::发给养老金或抚恤金	pension fund::养老基金；退休基金¦pension insurance::养老保险¦pension plan::公积金计划；退休金办法；养老计划¦old-age pension::养老金；退休金¦pension scheme::退休金计划¦retirement pension::退休金，养老金¦old age pension::养老金；退休金¦supplementary pension::企业年金；辅助退休金	At what age can you start drawing your pension ?::从多少岁可以开始领取养老金？¦If you are self-employed, you should think about taking out a private pension .::如果你是自由职业者，应该考虑办理私人养老金事宜。¦Many people find it hard to live on a basic state pension .::许多人发现仅凭国家基本养老金不能养活自己。¦She pays a quarter of her salary into a pension plan.::她将每月工资的四分之一用于养老金计划。
pensioner	'pɛnʃənɚ	'penʃ(ə)nə	n::领养老金者；领取抚恤金者		old age pensioners::领取养老金[退休金]的老人
pentagon	'pɛntəɡɑn	'pentəɡ(ə)n	n::五角形		
pentathlon	pen'tæθlən, -lɔn	pen'tæθlən	n::五项运动；五项全能运动	modern pentathlon::现代五项运动	Your life is a pentathlon of five purposes, which you must keep in balance.::你的生命也是有五个目的的五项全能赛，你必须保持均衡。¦By the late 8th century BC, events included running, wrestling, boxing, pancratium (a mixture of boxing and wrestling), chariot racing, a footrace with heavy armor, and the pentathlon.::在公元前8世纪末，比赛项目包括赛跑、摔跤、拳击、角斗(摔跤和拳击并用)、赛车、负重跑和五项全能运动。
penthouse	'pɛnthaʊs	'penthaʊs	n::阁楼；顶层公寓，屋顶房间	penthouse suite::顶楼套房	a £7 million London penthouse::一套价值700万英镑的伦敦顶层高级公寓
peony	'piəni	'piːənɪ	n::牡丹；芍药	tree peony::牡丹	The large, rich peony flowers look great in gardens and this is exactly why they are often seen as part of outdoors arrangements.::花园里花朵大大的、富丽堂皇的牡丹花看上去美极了，这就是为什么我们总能在户外布景看到它们。
people	'pipl	'piːp(ə)l	n::人；人类；民族；公民¦v::居住于；使住满人	many people::许多人；很多人；好多人¦some people::有些人；有人；一些人¦other people::其他人¦chinese people::中国人¦young people::n. 年 年轻人¦most people::多数人¦common people::大众，平民¦old people::老年人；老人¦number of people::人数¦ordinary people::普通人，一般人¦millions of people::数百万人¦business people::商业人士¦poor people::贫民，穷人¦older people::老年人¦good people::好人¦people first::以人为本¦working people::劳动人民；工作人口¦the best people::[口语](西方世界所谓的)上流社会人士¦several people::几个人¦serve the people::为人民服务	How many people were at the meeting?::有多少人到会？¦At least 40 people were killed.::至少有40人遇害。¦the people who live next door::住在隔壁的那些人
pepper	'pɛpɚ	'pepə	n::胡椒；辣椒；胡椒粉¦v::加胡椒粉于；使布满		salt and pepper::盐和胡椒粉
peppermint	'pɛpɚmɪnt	'pepəmɪnt	n::薄荷；薄荷油；胡椒薄荷；薄荷糖（等于mint）	peppermint oil::薄荷油	
per	pɚ	pɜː	prep::每；经；按照；每一¦n::(Per)人名；(德、挪、丹、瑞典)佩尔	per cent::百分之……，百分数¦per capita::人均；（拉丁）每人；按人口计算¦as per::按照，依据；如同¦per se::本身，自身¦per annum::每年¦per diem::[拉]每日，按日	The park attracts four million visitors per year.::那座公园每年吸引400万游客。
perceive	pɚ'siv	pə'siːv	v::察觉，感觉；理解；认知	perceive as::视为；当作	That morning, he perceived a change in Franca’s mood.::那天早上，他注意到弗兰卡情绪的变化。
percent	pɚ'sɛnt	pə'sent	n::百分比，百分率；部分；百分数¦adj::百分之…的¦adv::以百分之…地	one hundred percent::百分之百；不折不扣¦percent of pass::合格率，通过率¦recovery percent::采收率¦percent reduction::还原率，百分低减¦a hundred percent::百分之百；完全¦weight percent::重量百分数¦percent conversion::转化率；反应率¦mass percent::质量百分比¦volume percent::容积百分数，容量百分比；体积百分比	But there are billions more people out there who are not in the top one percent, and they’re not in the top two or three either.::但是还有十亿多的人不在其中，他们不在其中的百分之一，也不再其中的两百分之一或者三百分之一的其中。
percentage	pɚ'sɛntɪdʒ	pə'sentɪdʒ	n::百分比；百分率，百分数	percentage point::百分点¦germination percentage::发芽率¦weight percentage::重量百分率¦percentage change::百分比变动¦percentage increase::增长百分率；增长的百分数¦percentage elongation::伸长率；延伸率¦volume percentage::体积百分率¦elongation percentage::延伸率；伸长率¦setting percentage::结实率¦percentage error::百分误差；误差百分率¦field goal percentage::投篮命中率；投球命中率¦irrespective of percentage::不论损失如何全部赔偿	Interest rates fell by six percentage points (= 6% ) .::利息下降了6个百分点。¦The numbers are small in percentage terms (= when calculated as a percentage ) .::按百分比来看，这些数字很小。
perceptible	pɚ'sɛptəbl	pə'septɪb(ə)l	adj::可察觉的；可感知的；看得见的		a small but perceptible change::微小但可以察觉的变化¦The sound was barely perceptible .::那声音几乎听不见。
perception	pɚ'sɛpʃən	pə'sepʃ(ə)n	n::知觉；[生理] 感觉；看法；洞察力；获取	visual perception::视觉感知；视知觉¦aesthetic perception::美感，审美观念；审美知觉¦depth perception::[心]深度知觉¦sensory perception::n. 感官知觉¦sense perception::n. 感觉¦motion perception::运动知觉¦spatial perception::空间知觉¦pain perception::痛知觉¦consumer perception::消费者知觉¦extrasensory perception::超感知觉¦perception and understanding::感知与理解¦role perception::角色知觉	He is interested in how our perceptions of death affect the way we live.::他对我们的死亡观如何影响我们的生活方式感兴趣。
perceptive	pɚ'sɛptɪv	pə'septɪv	adj::感知的，知觉的；有知觉力的		He was one of the most perceptive U.S. political commentators.::他曾是美国最具洞察力的政治评论员之一。
perch	pɝtʃ	pɜːtʃ	n::鲈鱼; 高位；栖木；杆¦v::栖息；就位；位于；使坐落于		She watched the parade from her perch on her father’s shoulders.::她骑在父亲的肩上观看游行。¦...the vast slums that perch precariously on top of the hills around which the city was built.::…摇摇欲坠地坐落于城市中心群山之顶的大片贫民窟。
percussion	pɚ'kʌʃən	pə'kʌʃ(ə)n	n::[临床] 叩诊；振动；碰撞；敲打乐器；打击乐器组	percussion instrument::打击乐器¦percussion drilling::冲击钻探，冲魂；冲唤钻眼，冲魂井	Tonight we have Paul Duke on percussion (= playing a percussion instrument ) .::今晚我们请到保罗·杜克先生负责打击乐。¦a range of percussion instruments::一组打击乐器
perfect	ˈpɝfɪkt; (for v.) pɝˈfɛkt	ˈpəːfɪkt; (for v.) pəˈfekt	adj::完美的；最好的；精通的¦v::使完美；使熟练¦n::完成式	perfect oneself in::精通；熟练；完全掌握¦perfect for::应用范围；对…是完美的¦perfect harmony::水乳交融；完美无谐波；十分和谐¦perfect market::完全市场¦perfect man::完美无缺的人¦perfect day::天气极好¦perfect balance::理想均衡¦perfect condition::理想状态¦present perfect::[语]现在完成时¦perfect competition::完全（自由）竞争¦perfect circle::完整的圆圈；正圆¦perfect state::理想状态¦perfect form::完成式；完全型；正确几何形状¦perfect gas::理想气体；完美气体¦present perfect tense::现在完成式¦perfect stranger::完全不认识的人¦perfect weather::极好的天气¦past perfect::（动词的）过去完成时¦perfect number::完全数¦past perfect tense::过去完成时	His English was perfect.::他的英语很地道。¦The car was in perfect condition.::这辆车的车况极佳。¦You’re very lucky to have perfect teeth.::你能拥有一口完美的牙齿太幸运了。¦a perfect performance::完美的演出¦In a perfect world, we wouldn’t need an army.::在理想世界中，我们不需要军队。
