adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
overleaf	,ovɚ'lif	əʊvə'liːf	adv::在次页；在背面¦adj::背面的；次页的		See the diagram overleaf.::参见背面的示意图。
overlook	,ovɚ'lʊk	əʊvə'lʊk	v::忽略；俯瞰；远眺；检查；高耸于…之上¦n::忽视；眺望		It is easy to overlook a small detail like that.::那样的小细节很容易被忽略。¦Nobody could overlook the fact that box office sales were down.::谁也无法忽视票房销售额在下降这个事实。
overnight	'ovənaɪt	əʊvə'naɪt	adv::通宵；突然；昨晚¦adj::晚上的；通宵的；前夜的¦n::头天晚上；一夜的逗留¦vt::连夜快递¦vi::过一夜		He became a millionaire overnight.::他一夜之间就成了百万富翁。
overrule	,ovɚ'rul	əʊvə'ruːl	v::否决；统治；对…施加影响		The House of Lords overruled the decision of the Court of Appeal.::上议院推翻了上诉法院的判决。¦They have the power to overrule the local council.::他们有权否决地方议会的决定。
oversea	'ovɚ'si	'əʊvə'siː	adj::外国的；在海外的¦adv::国外；向国外，向海外	oversea chinese::海外华人	It’s a treason terror of the seasonal oversea seafood is reasonable.::认为季节性的海外海鲜的价格是合理的就是背叛。¦It's a treason that terror of the seasonal oversea seafood is reasonable.::认为季节性的海外海鲜的价格是合理的就是背叛。¦Joshua Russell: Some oversea workers have done so well, they've been able to outsouce their own outsourced works to those even poorer than themselves.::一些海外"接包"人员进展得相当好，他们已经能够将接到的外包工作再外包给那些甚至比他们自己还穷困的人。
overseas	,ovɚ'siz	əʊvə'siːz	adv::在海外，海外¦adj::海外的，国外的	overseas chinese::华侨，海外华人¦overseas market::海外市场¦overseas investment::海外投资¦overseas trade::海外贸易；对外贸易¦overseas student::留学生¦overseas travel::国外旅游，海外旅行¦returned overseas chinese::归侨¦overseas department::海外部¦overseas branch::国外分支机构；海外分店¦overseas assets::海外资产¦overseas bank::国外银行¦overseas call::国际电话¦overseas chinese affairs office::侨务办公室	Chris is going to work overseas.::克里斯要去国外工作。¦Most applications came from overseas.::大部分申请来自海外。
overtake	,ovɚ'tek	əʊvə'teɪk	v::赶上；压倒；突然来袭		He pulled out to overtake the van.::他把车驶出所在车道想超过那辆小货车。
overthrow	,ovɚ'θro	əʊvə'θrəʊ	n::推翻；倾覆；瓦解¦v::推翻；打倒；倾覆		They were charged with plotting the overthrow of the state.::他们被控密谋颠覆国家。
overtime	,ovə'taɪm	'əʊvətaɪm	n::[劳经] 加班时间；延长时间；加时赛¦adj::超时的；加班的¦vt::使超过时间¦adv::加班地	work overtime::加班¦overtime pay::加班费¦overtime work::加班加点工作，超时工作¦overtime working::加班工作¦overtime payment::加班工资	six hours’ overtime::六小时的加班¦They’re working overtime to get the job finished.::他们正在加班赶工。¦He’s been doing a lot of overtime recently.::他近来加班很多。¦Many employees work countless hours of unpaid overtime.::许多员工无偿加班无数个小时。¦Many of our offices will be working on overtime until the end of the year.::我们的许多办事处都要加班到年底。
overturn	'ovətɝn	əʊvə'tɜːn	v::推翻；倾覆；破坏¦n::倾覆；周转；破灭		Leslie jumped to her feet, overturning her chair.::莱斯莉一跃而起，碰倒了椅子。¦His car overturned, trapping him inside.::他的汽车发生侧翻，把他困在了里面。
overweight	'ovə'wet	əʊvə'weɪt	adj::超重的；过重的¦vt::使负担过重¦n::超重		He is slightly overweight.::他略微超重。
overwhelm	,ovɚ'wɛlm	əʊvə'welm	v::淹没；压倒；受打击；覆盖；压垮		
owing	'oɪŋ	'əʊɪŋ	adj::未付的；欠着的¦v::欠；把…归功于（owe的ing形式）		You need to pay the amount owing, plus the interest.::你需要付清欠款，外加利息。
owl	aʊl	aʊl	n::猫头鹰；枭；惯于晚上活动的人	night owl::猫头鹰；熬夜的人	
oxide	'ɑksaɪd	'ɒksaɪd	n::[化学] 氧化物	zinc oxide::n. 氧化锌¦nitric oxide::氧化一氮¦iron oxide::氧化铁¦metal oxide::n. 金属氧化物；金属氧化物电阻；金属绝缘膜¦oxide film::氧化膜；氧化物保护膜¦ethylene oxide::环氧乙烷；乙撑氧¦aluminum oxide::氧化铝；铝氧土（等于alumina）¦propylene oxide::氧化丙烯¦magnesium oxide::[化]氧化镁¦ferric oxide::三氧化二铁，氧化铁¦aluminium oxide::氧化铝¦calcium oxide::氧化钙，生石灰¦nitrogen oxide::氧化氮；氮的氧化物¦tin oxide::二氧化锡¦titanium oxide::三氧化钛¦copper oxide::[医]氧化铜¦nitrous oxide::[化]一氧化二氮；笑气（等于laughing gas）¦oxide layer::氧化层¦manganese oxide::氧化锰¦cobalt oxide::氧化钴	iron oxide::氧化铁
oyster	'ɔɪstɚ	'ɒɪstə	n::牡蛎，[无脊椎] 蚝；沉默寡言的人	oyster sauce::蚝油，蚝油酱¦oyster mushroom::平菇；蚝蘑；侧耳（等于oyster cap）¦oyster shell::牡蛎，牡蛎壳；贝壳¦pearl oyster::n. 珍珠贝（等于pearl shell）¦oyster oil::蚝油	
ozone	'ozon	'əʊzəʊn	n::[化学] 臭氧；新鲜的空气	ozone layer::【气】臭氧层¦ozone generator::臭氧发生器¦ozone hole::臭氧层空洞（等于ozone low）¦ozone depletion::臭氧消耗；臭氧枯竭¦atmospheric ozone::大气臭氧¦ozone resistance::耐臭氧；抗臭氧性¦ozone treatment::臭氧处理	These wonders can be observed only from space, because ozone and water in the Earth’s atmosphere absorb light at those wavelengths.::这些奇观只有在宇宙中才能观察到，因为地球大气层中的臭氧和水会吸收这些波长。
pace	pes	peɪs	n::一步；步速；步伐；速度¦v::踱步；缓慢而行	keep pace::并驾齐驱；齐步并进¦keep pace with::并驾齐驱，保持同步¦change of pace::n. 改变习惯；更换口味¦at a snail's pace::慢条斯理地；极慢地¦set the pace::v. 领先；起领头作用；定速度¦off the pace::在第一名之后¦at a good pace::相当快地¦force the pace::◎(比赛中)采用加速战术，以尽快拖垮对方	He quickened his pace , longing to be home.::他加快步伐，盼望着早点回到家中。
pact	pækt	pækt	n::协定；公约；条约；契约	trade pact::贸易协定¦warsaw pact::华沙公约	the Warsaw pact::华沙条约
pad	pæd	pæd	n::衬垫；护具；便笺簿；填补¦v::步行；放轻脚步走	brake pad::刹车片；盘式刹车片；制动衬块；闸垫¦pad printing::移印¦launch pad::n. 发射台¦mouse pad::滑鼠垫¦fat pad::脂肪垫¦cotton pad::化装棉；棉褥¦on the pad::◎在公路上抢劫¦rubber pad::橡胶垫¦foot pad::脚垫；鞋垫¦shoulder pad::护肩；轴肩衰减器¦writing pad::n. 书写纸¦heating pad::电热垫；取暖电毯¦touch pad::触摸板¦scouring pad::百洁布；擦洗用的钢丝绒¦launching pad::发射台；起飞坪；出发点¦bearing pad::轴承垫，乌金轴瓦；轴瓦¦stamp pad::打印台¦memo pad::记事簿，便笺¦note pad::记事本；便条本¦tilting pad::可倾瓦块；扇形支座；倾斜垫	Use an abrasive pad for stubborn stains.::用百洁布擦洗顽固污渍。
paddock	'pædək	'pædək	n::围场；小牧场		The family kept horses in the paddock in front of the house.::这家人在房子前面的小围场养马。
page		peɪdʒ	n::页；记录；大事件，时期；男侍者¦v::给…标页码	web page::网页¦home page::主页；第一个界面¦page in::置入分页；页入¦next page::后页，下一页¦front page::n. 头版；标题版¦page layout::页面布局¦page number::页号，页码¦on the same page::在同一页上；进度相同；达成共识¦title page::扉页；书名页¦last page::末页，最后一页¦yellow page::黄页（国际上对商业电话号码薄的固定称谓）¦printed page::打印页面¦blank page::空白页¦current page::n. 当前页；现行页面¦cover page::封面页¦book page::书评专页；书页¦previous page::上一页，前一页；返回上一级菜单¦turn the page::翻页¦full page::整个页面¦page size::页面大小，版面尺寸	The full address is given on page 15.::详细地址见第15页。¦You will find the answers over the page .::答案见下页。¦a 400﹣page novel::一本400页的小说¦We took out a full page advertisement in the ‘Village Voice’.::我们在《村声》上投放了一整版广告。
pager	'pedʒɚ	'peɪdʒə	n::寻呼机，呼机		Scores of messages on his pager have not been answered.::他寻呼机上的许多信息都还没有回复。
pagoda	pə'ɡodə	pə'gəʊdə	n::（东方寺院的）宝塔；印度的旧金币	pagoda tree::塔状树；国槐	
pail	pel	peɪl	n::桶，提桶	a pail of water::一桶水	a milk pail::牛奶桶
painkiller	'penkɪlɚ	'peɪnkɪlə	n::止痛药		an overdose of painkillers::过量止痛药
pajamas	pə'dʒæməz	pə'dʒɑːməz	n::睡衣；宽长裤		
palm	pɑm	pɑːm	n::手掌；棕榈树；掌状物¦v::将…藏于掌中	palm oil::n. 棕榈油¦bear the palm::获奖；获胜¦palm tree::棕榈树¦palm springs::棕榈泉（美国加州）¦palm beach::棕榈滩（位于美国佛罗里达州东南部）¦oil palm::油棕；油棕榈树¦palm pilot::掌上电脑¦palm sunday::[宗]圣枝主日（即复活节前的星期日）¦palm leaf::n. 棕榈叶¦palm kernel::棕榈仁；棕仁¦coconut palm::[植]椰树；椰子树¦date palm::[植]枣椰树¦golden palm::n. 金棕榈奖（戛纳电影节的奖项之一）¦west palm beach::西棕榈滩（美国度假胜地）¦palm wax::棕榈蜡¦palm kernel oil::棕榈仁油；棕榈坚果油¦palm computer::掌上电脑¦betel palm::［植］槟榔（树）	He held the pebble in the palm of his hand .::他把那颗卵石握在手心里。
pamphlet	ˈpæmflɪt		n::小册子		a political pamphlet::政治宣传册
pane	pen	peɪn	n::窗格；边；面；窗格玻璃；嵌板¦vt::装窗玻璃于；镶嵌板于	window pane::n. 窗玻璃	a window pane::一块窗玻璃¦a pane of glass::一块玻璃
panel	'pænl	'pæn(ə)l	n::仪表板；嵌板；座谈小组，全体陪审员¦v::嵌镶板	control panel::[计]控制面板¦on the panel::◎[英国英语]已登记为替参加国民健康保险者治病的医生¦panel data::固定样本数据¦flat panel::扁平面板¦display panel::显示面板，表示盘¦solar panel::太阳电池板¦front panel::前面板，面板¦instrument panel::仪表板；仪表操纵板¦panel display::平板显示；显示板¦flat panel display::平面直角显示器¦touch panel::触控面板；触感控制板¦plasma display panel::等离子显示板¦panel method::小样本连续研究法；盘区开采法；[化]板块法¦sandwich panel::夹层板¦panel of experts::专家小组¦panel discussion::专题讨论会¦wall panel::护墙板，墙板¦lcd panel::液晶显示屏幕¦operation panel::操作面板；操纵板¦glass panel::镶嵌玻璃；玻璃嵌板	He assembled a panel of scholars to advise him.::他集结了一个学者小组为他出谋划策。
panic	'pænɪk	'pænɪk	n::恐慌，惊慌；大恐慌¦adj::恐慌的；没有理由的¦v::使恐慌	no panic::[美国俚语]不大高明；平凡¦panic disorder::惊恐性障碍，恐慌症¦in panic::惊慌的¦panic attack::惊恐发作（一种病症）¦financial panic::金融恐慌；经济恐慌¦panic button::应急开关；紧急保险按钮¦panic buying::抢购，恐慌性抢购	a feeling of sheer panic::惊恐万分的感觉¦She got into a panic when she couldn’t find the tickets.::她找不到票，慌了起来。¦The whole nation is in a state of panic following the attacks.::袭击过后整个国家一片恐慌。¦She suffers from terrible panic attacks .::她时常会出现一阵极度慌乱之感。
