textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
war	wɔr	wɔː	n::战争；战争状态	world war::世界大战¦world war ii::第二次世界大战¦civil war::内战¦cold war::冷战¦second world war::第二次世界大战¦price war::价格战¦anti-japanese war::抗日战争¦war with::同…进行斗争/争斗；与…交战¦go to war::开战；当兵¦world war i::第一次世界大战¦opium war::n. [史]鸦片战争（1839-1842年中英间的战争）¦at war::在交战状态中¦first world war::第一次世界大战¦trade war::贸易战¦world war two::第二次世界大战¦revolutionary war::n. 美国之革命战争¦vietnam war::越南战争¦korean war::朝鲜战争¦gulf war::海湾战争¦total war::总体战，全面战争	the Vietnam War::越南战争¦He served as a pilot during the war.::他在战时担任飞行员。
director	dəˈrɛktɚ, daɪ-	dɪ'rektə; daɪ-	n::部门负责人；导演	deputy director::副局长，副厅长；副院长¦managing director::n. 总经理，常务董事¦vice director::副处长；副主任；副院长；副会长¦executive director::执行理事；常务董事¦director general::局长，处长¦independent director::独立董事¦factory director::厂长；副厂长¦deputy director general::副局长；副处长；副司长¦assistant director::助理导演；副导演¦film director::导演；电影导演¦best director::最佳导演¦sales director::销售总监，营销总监¦marketing director::市场总监；营销主管¦department director::部长¦art director::（电影拍摄负责服装、灯光、布景等的）艺术导演¦standing director::常务理事；常务董事¦finance director::财务经理¦artistic director::艺术总监¦board of director::董事会¦company director::公司董事长	英文释义：the director of education::中文释义：教育局局长¦"Cut!" the director yelled. "That was perfect."::“停！”导演叫道。“太好了！”
dialogue	ˈdaɪəˌlɔɡ	'daɪəlɒg	n::(dialog) 对话；对白	dialogue box::对话框	a boring movie full of bad dialog::充满差劲对白的乏味电影¦Students were asked to read simple dialogues out loud.::学生被要求大声朗读简单的对话。
documentary	'dɑkjə'mɛntri	dɒkjʊ'ment(ə)rɪ	n::纪录片	documentary film::纪录片；文献片¦documentary credit::押汇信用证¦documentary evidence::证明文件；书面证明¦documentary draft::跟单汇票；押汇汇票¦documentary letter of credit::跟单信用证；跟单信用状¦documentary proof::文件证明¦documentary collection::跟单托收	...a TV documentary on homelessness.::…一部关于无家可归现象的电视记录片。
drama	'drɑmə	'drɑːmə	n::戏；剧	tv drama::电视剧¦modern drama::话剧¦drama club::戏剧学会¦dance drama::n. 舞蹈剧¦drama queen::戏剧女皇；喜欢小题大做的人¦drama school::n. 戏剧学校，戏剧专科学校¦song and dance drama::歌舞剧¦music drama::音乐戏剧	the great traditions of ancient Greek drama::古希腊戏剧的伟大传统¦a new drama series for Saturday nights::周六晚上播放的新连续剧¦a drama critic::戏剧评论员¦a courtroom drama::法庭剧¦a lavish costume drama::豪华古装剧¦He plays a Russian spy in the comedy drama ‘Sleepers’.::他在喜剧片《潜伏特工》中扮演一名俄罗斯间谍。
plenty	'plɛnti	'plentɪ	pron::大量；众多	plenty of::大量；很多；许多¦plenty of time::大量时间¦in plenty::大量；充足	There’s plenty to do and see in New York.::在纽约有很多事可做，很多东西可看。
plenty of			::大量；充足		You have plenty of time to read.::你有大量的时间读书。
shut	ʃʌt	ʃʌt	v::(过去式 shut, 过去分词 shut) 关闭；关上	shut down::停工，关闭¦shut up::住口；关闭；妥藏起来¦shut off::切断；关掉¦shut the door::关门¦shut out::v. 排除；关在外面；遮住¦shut in::adj. 被关住的¦shut away::隔绝；把…藏起来；关起来¦cold shut::冷隔；冷界；冷疤¦shut the fuck up::闭上鸟嘴；他妈的给我闭嘴¦emergency shut down::紧急停机，紧急停堆；紧急停车	Shut the window, Ellen!::埃伦，把窗关上！¦I heard his bedroom door shut.::我听到他的卧室门关上了。¦She lay down on her bed and shut her eyes .::她在床上躺下，闭上眼睛。¦He shut the drawer and turned the key.::他关上抽屉，转动了钥匙。
superhero	'supɚhɪro	'suːpəhɪərəʊ; 'sjuː-	n::超级英雄		...superheroes like Batman and Superman.::...像蝙蝠侠和超人那样的超级英雄。
horror	'hɔrɚ	'hɒrə	n::震惊；恐惧	in horror::惊恐地¦horror film::恐怖片；惊险影片¦horror movie::恐怖片，惊恐片；恐怖电影¦horror fiction::恐怖小说¦horror story::恐怖故事	You should have seen the look of horror on his face.::你真该看看他脸上恐惧的表情。
thriller	'θrɪlɚ	'θrɪlə	n::惊险电影（小说、戏剧）		...a tense psychological thriller.::…一部紧张刺激的心理惊悚小说。
intelligent	ɪn'tɛlɪdʒənt	ɪn'telɪdʒ(ə)nt	adj::有才智的；聪明的	intelligent control::智能控制¦intelligent building::智能型大楼¦intelligent system::智能系统¦intelligent management::智能管理¦intelligent controller::智能控制器¦intelligent design::智能设计¦intelligent instrument::智能仪器¦intelligent robot::智能机器人；智慧型机器人¦intelligent agent::智能代理；职能代理软件；智能主体¦intelligent sensor::智能传感器¦intelligent machine::智能机器¦intelligent car::智能汽车；无人驾驶汽车¦intelligent terminal::智能终端；智能型终端设备¦intelligent use::[化]合理使用¦intelligent behavior::智力行为	a group of highly intelligent (= very intelligent )students::一组聪明异常的学生¦Sontag was once famously described as the most intelligent woman in America.::桑塔格曾被称为美国最聪明的女人，这是众人皆知的事。
sense	sɛns	sens	n::感觉；意识¦v::感觉到；意识到	sense of::…的感觉¦in a sense::在某种意义上¦make sense::有意义；讲得通；言之有理¦sense of responsibility::责任感，责任心¦common sense::常识¦good sense::n. 判断力强¦sense of humor::幽默感，幽默¦in the sense::就…意义而言¦make sense of::搞清…的意思¦no sense::不必；没道理¦in the sense of::从…意义上说¦narrow sense::狭义¦sense of belonging::归宿感，归属感¦sense of smell::嗅觉¦sense of beauty::n. 美感；审美感¦sense organ::感觉器官¦sense of duty::n. 责任感；责任心¦sixth sense::第六感，直觉¦in a broad sense::广义上讲¦sense of direction::方向感	Cats have a very acute sense of hearing (= very good, so that they can hear even the smallest sound ) .::猫的听觉非常敏锐。¦Perhaps he sensed your distrust.::也许他感觉到了你的不信任。
pain	pen	peɪn	n::痛苦；苦恼	in pain::痛苦¦abdominal pain::腹痛¦back pain::背痛¦no pain::没有痛苦；不痛¦chest pain::胸痛¦feel pain::感觉到疼痛；觉得疼痛¦low back pain::下背痛，下腰痛¦pain in the neck::极讨厌的人或事¦physical pain::生理痛¦pain threshold::[生理]痛阈¦stomach pain::胃痛¦severe pain::激痛，剧痛¦sharp pain::[医]锐痛¦pain past is pleasure::苦尽甘来¦acute pain::急性痛；剧烈的疼痛¦pelvic pain::骨盆病¦intense pain::剧烈疼痛；剧痛¦unbearable pain::难以忍受的痛苦¦spare no pains::不遗余力，全力以赴¦feel no pain::不觉得痛	the pain and grief of bereavement::丧亲之痛
reflect	rɪ'flɛkt	rɪ'flekt	v::映出；照出；反映	reflect on::仔细考虑，思考；反省；回想，回顾；怀疑¦reflect upon::vt. 考虑（回想；回顾）	She could see her face reflected in the car’s windshield.::她看到自己的脸映照在汽车的挡风玻璃上。¦The drop in consumer spending reflects concern about the economy.::消费支出的下降反映出人们对经济的担忧。
perform	pɚ'fɔrm	pə'fɔːm	v::表演；执行	perform an operation::动手术；做手术¦perform on::表演；上演；演奏¦opportunity to perform::实践的机会；表现机会¦perform maintenance::修理¦perform a contract::执行合同	Chenier and the band are performing at the Silver Palace tomorrow.::车尼尔和乐队明天将在银宫演出。¦The children perform two plays each school year.::孩子们一学年表演两部话剧。¦Surgeons performed an emergency operation. ＃::外科医生做了一个急诊手术。
amazing	ə'mezɪŋ	ə'meɪzɪŋ	adj::令人惊奇的； 令人惊喜的	where amazing happens::奇迹发生之地（NBA季后赛的宣传口号）	He’s an amazing player to watch.::看他比赛那才叫精彩呢。¦an amazing bargain::令人惊喜的便宜货
pity	'pɪti	'pɪtɪ	n::遗憾；怜悯	what a pity::多可惜啊¦pity for::v. 怜悯某人¦out of pity::出于同情；出于怜悯¦have pity on::怜悯，同情¦take pity on::怜悯，同情	It’s a great pity Joyce wasn’t invited.::乔伊斯没有受到邀请太遗憾了。¦I like Charlie. Pity he had to marry that awful woman.::我喜欢查利，遗憾的是他得和那个糟糕的女人结婚。¦A pity we can’t find the guy who did it.::真遗憾我们找不到那个干了这件事的家伙。¦I listened to Jason’s story with pity. ＃::我同情地听贾森讲述他的故事。
total	'totl	'təʊt(ə)l	n::总数；合计¦adj::总的；全体的	in total::总计¦a total of::总数为¦total amount::总数；总价；总计¦total number::总数¦total cost::总成本¦total area::n. 总面积¦total investment::总投资¦total output::总产量；总输出量；总功率¦total value::总价；总值¦total nitrogen::总氮，总氮量¦total energy::总能量¦total quality management::全面质量管理；综合品质管理¦total assets::总资产；全部资产¦total length::全长；总长度¦total production::总产量¦total station::全站仪（全站型电子速测仪的简称，是一种智能型光电测量仪器）；全能测量仪¦total pressure::总压力¦total phosphorus::总磷¦total volume::总体积；总容积；总成交量¦sum total::总数；总计；主旨	That’s £7 and £3.50, so the total is £10.50.::7英镑加上3.50英镑，所以总数是10.50英镑。¦This brought the total number of accidents so far this year to 113. ＃::这使得今年迄今为止发生事故的总数达到 113 起。
in total			::总共；合计		There were probably about 40 people there in total. ＃::总共可能有40人左右。
master	'mæstɚ	'mɑːstə	n::能手；主人¦v::掌握	master of::控制；精通…的能手¦master degree::硕士学位；研究生¦master plan::总体规划；蓝图¦great master::宗师，大师¦master bedroom::主卧室¦master planning::总体规划；主规划¦master of science::理学硕士，理科硕士¦master piece::杰出的事¦master station::主站；重站；主控台；总机¦be master of oneself::能自制，能控制自己的感情¦master computer::主计算机¦master control::主控制¦master key::万能钥匙，难题解决法；总电键¦master batch::母料¦master of business administration::工商管理学硕士¦master cylinder::主缸；制动缸；控制缸¦master data::[计]主数据¦master card::主卡片¦master of ceremonies::司仪；节目主持人¦master schedule::主要图表， 综合图表；设计任务书；主要作业表	a work of art by a true master::一件真正的大师之作¦You’ll have to ask the master’s permission.::你得去请求主人的同意。¦the skills needed to master a new language::掌握一门新语言所需的技能
