abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
gender	'dʒɛndɚ	'dʒendə(r)	n:: 性别； 性::the fact of being male or female	gender difference::性别差异¦gender role::性别角色¦gender discrimination::性别歧视¦gender gap::性别差异¦gender identity::性别认同；性别认定；性（别）身份¦gender studies::性别研究¦gender issues::性别问题¦gender equity::性別平等；男女平等；两性公平¦gender imbalance::性别比例失衡¦gender mainstreaming::将性别观点纳入主流	people of the same gender::同性别的人¦Discrimination on grounds of race or gender is forbidden.::严禁种族歧视和性别歧视。¦There may be gender differences in attitudes to paid work.::对待有偿劳动的态度可能存在着性别差异。¦traditional gender roles::传统的性别角色¦toys that do not reinforce gender stereotypes::不强化性别模式化观念的玩具¦a science fiction story dealing with gender issues::以性别问题为题材的科幻故事	n::性；性别；性交::sexuality, sexual intercourse			 女性大体上属于温柔的(tender)性别(gender)			
signature	'sɪgnətʃɚ	'sɪgnətʃə(r)	n:: 签名， 签字； 签署::your name written in the way you usually write it, for example at the end of a letter, or on a cheque etc, to show that you have written it	digital signature::数字签名，数字签字¦specimen signature::签字样本；印鉴样本¦authorized signature::有权签字人的签字¦signature tune::信号曲；音调¦signature line::签名档；帖码线¦signature dishes::招牌菜¦signature card::签名卡；（银行）签字样卡¦key signature::n. 音调符号¦signature analysis::署名特征分析；特征分析；信号分析学；图形分析法	Her signature is totally illegible (= cannot be read ) .::她的签字完全无法辨认。¦The school collected 4,000 signatures for the petition.::学校为这份请愿书收集到了四千个签名。¦The Ukrainians put their signatures to the Lisbon Protocol.::乌克兰签署了《里斯本协议》。¦Someone’s forged my signature (= made an illegal copy of my name to deceive people ) on this letter.::有人在这封信中伪造了我的签名。¦Each child must obtain the signature of his or her parents.::每个小孩都必须得到父母的签字。	n::署名；签名；信号::a scratch of pen	adj::signed:: 有符号的；已签字的；有正负之分的¦adj::signatory:: 签署的；签约的¦n::signatory:: 签约国；签名人¦n::signaling:: 发信号；打信号¦n::signer:: 签名者；用手势示意者¦n::signifier:: 信号物，记号；表示者¦n::signaler:: 信号装置；信号员¦n::signalisation:: 信号通知¦n::signalization:: 信号作用¦n::signaller:: 通讯兵；信号装置¦n::signalman:: 信号员；信号手¦v::signed:: 署名；写下；预示；示意（sign的过去分词）¦vi::signalize:: 发信号¦vt::signalise:: 使…显著；用信号通知；庆祝；突出地表明¦vt::signalize:: 使显眼；使著名；向…发信号		 sign(标记) + at + ure(表行为、 状态， 名词后缀) → 在文件上做记号 → 签名			
architect	'ɑrkɪtɛkt	'ɑːkɪtekt	n:: 建筑师， 设计师； 创造者::someone whose job is to design buildings	landscape architect::n. 造园技师；环境美化设计家¦chief architect::总建筑师¦system architect::系统架构师；系统结构设计员¦naval architect::造船工程师，造船技师	Tinoco was one of the architects of the government’s economic reforms.::蒂诺科是政府经济改革的设计师之一。		adj::architectural:: 建筑学的；建筑上的；符合建筑法的¦adj::architectonic:: 建筑术的；组织的；知识体系的¦adv::architecturally:: 建筑上地；关于建筑地¦n::architecture:: 建筑学；建筑风格；建筑式样¦n::architectonic:: 体系论；建筑学（等于architectonics）¦n::architectonics:: 建筑学；结构设计					
churn	tʃɝn	tʃɜːn	v::〔因紧张或惊慌而〕反胃::if your stomach churns, you feel sick because you are nervous or frightened¦n::〔制造黄油的〕搅乳器::a container used for shaking milk in order to make it into butter	churn out::艰苦地做出；大量炮制	My stomach was churning on the day of the exam.::考试那天我胃里直翻腾。	vi::搅拌；搅动::mix round, stir up¦vt::搅拌；搅动::mill, mix round	n::churning:: 搅乳；一次提制的奶油¦v::churning:: 搅拌（churn的ing形式）					
foundation	faʊn'deʃən	faun'deɪʃn	n:: 基础； 地基； 创立::the solid layer of  cement  , bricks, stones etc that is put under a building to support it	on the foundation::[英国英语]领取基金会提供奖学金(或津贴)的；属于由基金维持的机构的¦theoretical foundation::理论基础¦solid foundation::基础雄厚；实体基础¦foundation pit::基坑¦pile foundation::打桩基础¦deep foundation::深基础；深层地基¦lay a foundation::奠定基础；奠基；打下基础¦foundation treatment::地基处理，基础处理¦economic foundation::经济基础¦dam foundation::坝基¦foundation stone::基石；根源¦foundation soil::地基；地基土¦foundation design::基础设计；基础工程¦elastic foundation::弹性地基；弹力胸衣¦research foundation::研究基金会¦firm foundation::坚实的基础¦national science foundation::美国国家科学基金会¦foundation engineering::基础工程；地基工程¦social foundation::社会基础¦foundation work::基础工作；基础工程	It took the builders three weeks to lay the foundations .::建筑工人花了三星期的时间打地基。¦The earthquake shook the foundations of the house.::地震动摇了那幢房子的地基。	n::基础；[建]地基；基金会；根据；创立::elements, basis, bed, seed, radical	n::founder:: 创始人；建立者；翻沙工¦n::foundress:: 女创立者；女奠基者¦v::found:: 找到（find的过去分词）¦vi::founder:: 失败；沉没；倒塌；变跛¦vt::found:: 创立，建立；创办¦vt::founder:: 破坏；使摔倒；垮掉		 found(建立) + ation(表状态， 名词后缀) → 建立基础 → 基础； 地基			
astrology	ə'strɑlədʒi	ə'strɒlədʒi	n:: 占星学； 占星术::the study of the positions and movements of the stars and how they might influence people and events		Why do people believe in astrology?::人们为什么相信占星学呢？¦She's busy writing a book on astrology.::她正忙着写一本关于占星术的书。¦Many people have misconceptions about astrology.::许多人对占星学有误解。	n::[天]占星术；占星学；星座::horoscope, constellation	adj::astrological:: 占星的；占星学的，占星术的¦n::astrologer:: 占星家¦n::astrologist:: 占星家		 astro(星) + (o)logy(…学) → 占星学			
variability	,vɛrɪə'bɪləti	ˌveəriə'bɪləti	n:: 可变性， 易变性::		In our world, not only do we have variability, we've got unpredictability.::在我们的世界不仅有可变性，还有不可预见性。¦There are many problems with rankings, especially the metrics used and the variability.::排名有很多问题，特别是排名所依据的指标和排名的可变性。¦Abstract: : housing demand and housing adaptability, variability is not coordination problem of current our country city housing is very serious.::摘要： 当前我国城市住宅中居住需求与住宅适应性、可变性不相协调的问题十分突出。	n::[生物][数]可变性，变化性；变异性::adaptability, modifiability	adj::variable:: 变量的；可变的；易变的，多变的；变异的，[生物] 畸变的¦adj::varied:: 多变的；各式各样的；杂色的¦adj::varying:: 不同的；变化的¦adv::variably:: 易变地；不定地¦n::variation:: 变化；[生物] 变异，变种¦n::variable:: [数] 变量；可变物，可变因素¦n::variance:: 变异；变化；不一致；分歧；[数] 方差¦n::variedness:: 变化；杂色¦v::varied:: 改变；使多样化（vary的过去式和过去分词形式）¦v::varying:: 变化，改变（vary的现在分词）¦vi::vary:: 变化；变异；违反¦vt::vary:: 改变；使多样化；变奏		 variab(=variable可变的) + ility → 可变性， 易变性			
invader	ɪn'vedɚ	ɪn'veɪdə(r)	n:: 入侵者::a soldier or a group of soldiers that enters a country or town by force in order to take control of it		Invaders ransacked the town.::侵略军洗劫了小镇。	n::侵略者；[生物]侵入物::aggressor, harrier	adj::invasive:: 侵略性的；攻击性的¦n::invasion:: 入侵，侵略；侵袭；侵犯¦vi::invade:: 侵略；侵入；侵袭；侵犯¦vt::invade:: 侵略；侵袭；侵扰；涌入		来自invade(v. 侵犯， 侵入)			
punch		pʌntʃ	v::穿孔，打孔；重击，猛击::to hit someone or something hard with your  fist (= closed hand ) ¦n:: 猛击； 冲床， 穿孔机； 力量， 效力::a strong effective way of expressing things that makes people interested	punch in::上班打卡¦punch card::穿孔卡片（等于punched card）¦punch press::冲床；压力机¦punch line::n. 妙语¦punch machine::打卡机；冲孔机¦pack a punch::◎拳头凶猛有力，能击出有力的一拳¦punch out::下班打卡¦as pleased as punch::非常高傲；得意洋洋¦hole punch::打孔机；打孔¦punch through::[物]穿通现象¦punch on::穿孔开始¦one-two punch::连环出击；连续左右猛击；连续出击的组合拳¦punch forming::[化]冲压成型¦fruit punch::果汁喷趣酒（清凉饮料）；水果混合饮料¦punch hole::[信息工程]穿孔	He punched me and knocked my teeth out.::他朝我一拳，打落了我的牙齿。	n::[机]冲压机；打洞器；[计]钻孔机::blanking press, drilling machine¦vi::用拳猛击::jab	n::puncher:: 穿孔者；穿孔机		 “乓哧”(重击的声音) → 穿孔； 重击			
naturally	'nætʃrəli	'nætʃrəli	adv:: 当然， 自然； 天生地::use this to say that something is normal and not surprising		Naturally, you’ll want to discuss this with your wife.::当然，你一定想和你妻子商量一下这件事。¦Naturally enough, she wanted her child to grow up fit and strong.::很自然，她希望自己的孩子健康茁壮地成长。	adv::自然地::spontaneously, unaffectedly	adj::natural:: 自然的；物质的；天生的；不做作的¦adj::naturalist:: 自然的（等于naturalistic）；自然主义的；博物学的¦adj::naturalistic:: 自然的；自然主义的；博物学的¦adj::naturalized:: 归化的；入籍的；[动] 自然化的；驯化的¦n::nature:: 自然；性质；本性；种类¦n::natural:: 自然的事情；白痴；本位音¦n::naturalist:: 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人¦n::naturalism:: 自然主义；本能行动；自然论¦n::naturalness:: 当然，自然¦n::naturism:: 对自然现象的崇拜；裸体主义¦n::naturopath:: 理疗家；自然疗者¦v::naturalized:: 使自然化；接受…入国籍；采纳（naturalize的过去式和过去分词）					
flexibility	,flɛksə'bɪləti	ˌfleksə'bɪləti	n:: 柔韧， 有弹性； 柔顺， 温顺； 灵活性； 适应性::the ability to change or be changed easily to suit a different situation	flexibility matrix::柔度矩阵；挠度矩阵¦strategic flexibility::战略柔性，战略弹性；策略灵活性¦flexibility method::[工程]柔度法；挠度法¦operational flexibility::操作弹性；运行灵活性	Employees expect flexibility in the workplace.::员工们盼望工作安排有弹性。	n::灵活性；[力]弹性；适应性::give, elasticity, adaptability	adj::flexible:: 灵活的；柔韧的；易弯曲的¦adj::flex:: 弹性工作制的¦adv::flexibly:: 灵活地；易曲地；柔软地；有弹性地¦n::flex:: 屈曲；电线；松紧带¦n::flexibleness:: 可挠性；柔软性¦vi::flex:: 弯曲；收缩¦vt::flex:: 折曲；使收缩		来自flexible(a. 易弯曲的； 柔韧的)			
identity	aɪ'dɛntəti	aɪ'dentəti	n:: 身份； 特性； 同一性::someone’s identity is their name or who they are	identity card::身份证¦cultural identity::文化身份；文化认同¦national identity::国家认同；民族认同¦brand identity::品牌识别；品牌标识；品牌同一性¦corporate identity::企业形象；企业标识¦identity theft::身份盗窃，身份盗用¦ethnic identity::族群认同，种族认同；民族认同¦visual identity::视觉识别¦personal identity::个人统合，个人身份；人格同一性¦gender identity::性别认同；性别认定；性（别）身份¦sense of identity::认同感；本体感¦identity document::身份证件；身分证明文件¦social identity::社会认同；社会身份¦identity crisis::认同的转折点¦identity certificate::身份证明书，身份证¦individual identity::个人统合¦identity management::身份管理；身份认证管理¦group identity::团体同一性；群体认同¦sexual identity::性认同；性身份；性自认¦identity politics::认同政治，身份政治	The identity of the killer is still unknown.::凶手的身份仍未查明。	n::身份；同一性，一致；特性；恒等式::accordance, estate, unity, agreement, quality	adj::identical:: 同一的；完全相同的¦adj::identifiable:: 可辨认的；可认明的；可证明是同一的¦adv::identically:: 同一地；相等地¦n::identical:: 完全相同的事物¦n::identification:: 鉴定，识别；认同；身份证明¦vi::identify:: 确定；认同；一致¦vt::identify:: 确定；识别；使参与；把…看成一样		 i + dent(牙齿) + ity(表性质) → 通过牙齿来确定身份 → 身份			
